,SP500,Oil,Gold,NaturalGas
2013-01-01,,,,
2013-01-02,,,,
2013-01-03,-0.002259117461823168,-0.0018252093622503907,0.001784121320249854,-0.033333333333333326
2013-01-04,0.004391619255252888,0.0016134236850597894,-0.031018106262986067,0.0031347962382446415
2013-01-07,-0.0027327753834227586,0.0008591065292096189,0.01317200183795375,0.031249999999999778
2013-01-08,-0.002877236130040761,0.00010729613733895249,0.0,-0.027272727272727226
2013-01-09,0.0025420024488977955,-0.001394700139469962,0.005895691609977272,-0.02180685358255452
2013-01-10,0.007949570392244754,0.00784271594327457,-0.00030057108506165164,-0.019108280254777066
2013-01-11,-6.796925187235736e-05,-0.002238567316917295,0.003908598917618855,0.032467532467532534
2013-01-14,-0.0006798549147084554,0.007158119658119633,-0.0010482180293500676,0.0660377358490567
2013-01-15,0.0006803174318581462,-0.01071390686326501,0.007944835856693144,0.002949852507374562
2013-01-16,-0.00013559916005212447,0.01093716491529051,-0.0007436049970255265,0.008823529411764675
2013-01-17,0.006460252959850088,0.012834111158251948,0.002083643399315438,0.002915451895043608
2013-01-18,0.0022293882045181235,0.0012566760917374076,0.00401009950987663,0.029069767441860517
2013-01-21,,,-0.0011834319526626835,
2013-01-22,0.005393330399378726,0.0050203953561342995,0.002665876777251164,0.025423728813559254
2013-01-23,0.0016094111995768046,-0.010719117494015995,-0.0001477104874446633,-0.02754820936639124
2013-01-24,0.0002677088549509765,0.0030507048180095087,-0.009011670852415388,0.008498583569405138
2013-01-25,0.005622211326109294,-0.002097535395909733,-0.00402504472271914,-0.0393258426966292
2013-01-28,-0.0011980890173087788,0.008407777193904398,-0.00808262236192192,-0.049707602339181256
2013-01-29,0.003931881398815618,0.017404898384575374,0.002263467632412919,-0.03384615384615386
2013-01-30,-0.003916482255088005,0.003687768899815591,0.0034628124059017384,0.031847133757961776
2013-01-31,-0.0024655534781532484,-0.003368034292712818,0.00495123780945228,0.02777777777777768
2013-02-01,0.010287153791562309,-0.0019457245263697631,-0.005673335323977291,0.0030030030030030463
2013-02-04,-0.011240227129896474,-0.012825774676790469,-0.00045045045045044585,-0.020958083832335328
2013-02-05,0.010097948904481457,0.00488514707410892,0.008261979870812786,0.021406727828746197
2013-02-06,0.0007280110128211614,-0.0024824162184526877,-0.004767580452920139,0.020958083832335328
2013-02-07,-0.0013232587051600353,-0.00622148486105345,0.0034431137724550975,-0.0058651026392961825
2013-02-08,0.005564484560694805,-0.0013564273789650194,-0.003580486349395784,-0.0383480825958703
2013-02-11,-0.00019722982159930957,0.013582697732734461,-0.0037430753106753034,-0.018404907975460016
2013-02-12,0.001646946174236552,0.0048448613544995744,-0.013074842200180292,0.031249999999999778
2013-02-13,0.0008551117799826535,-0.004616331555190811,0.0038069133546521083,-0.003030303030302939
2013-02-14,0.0009199732240732228,0.0027826445429248725,-0.0024271844660194164,0.003039513677811412
2013-02-15,-0.001181815702955391,-0.013874614594039048,-0.008972019464720149,-0.033333333333333326
2013-02-18,,,-0.011048028233849982,
2013-02-19,0.0074945128055508015,0.007712350182386585,0.001396431342125748,0.012539184952978122
2013-02-20,-0.012463245252032018,-0.018305926155755436,-0.00712736287573601,0.034055727554179516
