,Symbol,Security,GICS Sector, GICS Sub Industry,Location
150,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois"
151,DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland"
152,DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland"
153,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado"
154,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee"
155,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia"
156,D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia"
157,DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois"
158,DWDP,DowDuPont,Materials,Diversified Chemicals,"Midland, Michigan"
159,DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan"
160,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana"
161,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina"
162,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia"
163,ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York"
164,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee"
165,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland"
166,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California"
167,ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota"
168,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California"
169,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California"
170,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
171,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri"
172,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana"
173,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
174,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
175,EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia"
176,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California"
177,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois"
178,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California"
179,EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York"
180,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri"
181,ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts"
182,RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda"
183,EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois"
184,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington"
185,EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington"
186,ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri"
187,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah"
188,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas"
189,FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington"
190,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California"
191,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota"
192,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland"
193,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
194,FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida"
195,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio"
196,FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio"
197,FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin"
198,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia"
199,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon"
200,FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas"
201,FLR,Fluor Corp.,Industrials,Construction & Engineering,"Irving, Texas"
202,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
203,FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York"
204,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
205,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California"
206,FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington"
207,FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois"
208,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California"
209,FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona"
210,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California"
211,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
212,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut"
213,GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia"
214,GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts"
215,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
216,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
217,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia"
218,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California"
219,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia"
220,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York"
221,GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio"
222,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois"
223,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
224,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina"
225,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin"
226,HRS,Harris Corporation,Industrials,Aerospace & Defense,"Melbourne, Florida"
227,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut"
228,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
229,HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee"
230,HCP,HCP Inc.,Real Estate,Health Care REITs,"Long Beach, California"
231,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[7]"
232,HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York"
233,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
234,HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York"
235,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
236,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
237,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas"
238,HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
239,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
240,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey"
241,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
242,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
243,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
244,HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky"
245,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio"
246,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia"
247,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine"
248,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom"
249,ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois"
250,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California"
251,IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,"Dublin, Ireland"
252,INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California"
253,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia"
254,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York"
255,INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware"
256,IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee"
257,IPG,Interpublic Group,Communication Services,Advertising,"New York, New York"
258,IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York"
259,INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California"
260,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California"
261,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
262,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts"
263,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,"Durham, North Carolina"
264,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts"
265,JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California"
266,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas"
267,JEF,Jefferies Financial Group,Financials,Multi-Sector Holdings,"New York, New York"
268,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio"
269,JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey"
270,JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland"
271,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York"
272,JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California"
273,KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri"
274,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan"
275,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio"
276,KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas"
277,KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York"
278,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas"
279,KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California"
280,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin"
281,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania"
282,KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio"
283,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio"
284,LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,"New York, New York"
285,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina"
286,LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California"
287,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri"
288,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida"
289,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana"
290,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania"
291,LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom"
292,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois"
293,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland"
294,L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York"
295,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina"
296,LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands"
297,MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York"
298,MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California"
299,M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio"
300,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
301,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio"
302,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
303,MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York"
304,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina"
305,MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan"
306,MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York"
307,MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California"
308,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland"
309,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois"
310,MCK,McKesson Corp.,Health Care,Health Care Distributors,"San Francisco, California"
311,MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland"
312,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey"
313,MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York"
314,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio"
315,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
316,KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
317,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona"
318,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho"
319,MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington"
320,MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee"
321,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York"
322,TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado"
323,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois"
324,MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California"
325,MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York"
326,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York"
327,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota"
328,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois"
329,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York"
330,MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands"
331,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York"
332,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
333,NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"San Francisco, California"
334,NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California"
335,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California"
336,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia"
337,NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
338,NEM,Newmont Mining Corporation,Materials,Gold,"Denver, Colorado"
339,NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York"
340,NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York"
341,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida"
342,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York"
343,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon"
344,NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana"
345,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
346,JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington"
347,NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia"
348,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
349,NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia"
350,NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
351,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey"
352,NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina"
353,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California"
354,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri"
355,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California"
356,OMC,Omnicom Group,Communication Services,Advertising,"New York, New York"
357,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
358,ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California"
359,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington"
360,PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois"
361,PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio"
362,PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York"
363,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California"
364,PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK"
365,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut"
366,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York"
367,PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts"
368,PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland"
369,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York"
370,PCG,PG&E Corp.,Utilities,Multi-Utilities,"San Francisco, California"
371,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York"
372,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas"
373,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona"
374,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas"
375,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
376,RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
377,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania"
378,PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania"
379,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa"
380,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio"
381,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio"
382,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California"
383,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey"
384,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey"
385,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California"
386,PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia"
387,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
388,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina"
389,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas"
390,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California"
